fiscalYear,gdp,category,barTotal
2000,9.9,Revenues,0.2
2001,9.4,Revenues,0.19
2002,7.9,Revenues,0.17
2003,7,Revenues,0.16
2004,6.7,Revenues,0.16
2005,7.2,Revenues,0.17
2006,7.6,Revenues,0.18
2007,8.1,Revenues,0.18
2008,7.8,Revenues,0.17
2009,6.3,Revenues,0.15
2010,6.1,Revenues,0.15
2011,7.1,Revenues,0.15
2012,7.1,Revenues,0.15
2013,8,Revenues,0.17
2014,8.1,Revenues,0.18
2015,8.7,Revenues,0.18
2016,8.8,Revenues,0.18
2017,9,Revenues,0.18
2018,9.1,Revenues,0.18
2019,9.2,Revenues,0.18
2020,9.2,Revenues,0.18
2021,9.3,Revenues,0.18
2022,9.3,Revenues,0.18
2023,9.4,Revenues,0.18
2024,9.5,Revenues,0.18
2025,9.5,Revenues,0.18
2026,9.6,Revenues,0.18
2027,9.7,Revenues,0.18
2028,9.7,Revenues,0.18
2029,9.8,Revenues,0.18
2030,9.8,Revenues,0.18
2031,9.9,Revenues,0.19
2032,9.9,Revenues,0.19
2033,10,Revenues,0.19
2034,10,Revenues,0.19
2035,10.1,Revenues,0.19
2036,10.1,Revenues,0.19
2037,10.1,Revenues,0.19
2038,10.2,Revenues,0.19
2039,10.2,Revenues,0.19
2040,10.3,Revenues,0.19
2041,10.3,Revenues,0.19
2042,10.3,Revenues,0.19
2043,10.4,Revenues,0.19
2044,10.4,Revenues,0.19
2045,10.5,Revenues,0.19
2046,10.5,Revenues,0.19
2000,4,Spending,0.18
2001,4.1,Spending,0.18
2002,4.2,Spending,0.19
2003,4.2,Spending,0.19
2004,4.1,Spending,0.19
2005,4,Spending,0.19
2006,4,Spending,0.19
2007,4.1,Spending,0.19
2008,4.1,Spending,0.2
2009,4.7,Spending,0.24
2010,4.7,Spending,0.23
2011,4.7,Spending,0.23
2012,4.8,Spending,0.22
2013,4.9,Spending,0.21
2014,4.9,Spending,0.2
2015,5,Spending,0.21
2016,4.9,Spending,0.21
2017,4.9,Spending,0.21
2018,5,Spending,0.21
2019,5.1,Spending,0.21
2020,5.2,Spending,0.22
2021,5.3,Spending,0.22
2022,5.4,Spending,0.23
2023,5.6,Spending,0.23
2024,5.7,Spending,0.22
2025,5.8,Spending,0.23
2026,5.9,Spending,0.23
2027,5.9,Spending,0.23
2028,6,Spending,0.24
2029,6.1,Spending,0.24
2030,6.2,Spending,0.24
2031,6.2,Spending,0.25
2032,6.3,Spending,0.25
2033,6.3,Spending,0.25
2034,6.3,Spending,0.25
2035,6.3,Spending,0.26
2036,6.4,Spending,0.26
2037,6.4,Spending,0.26
2038,6.3,Spending,0.26
2039,6.4,Spending,0.27
2040,6.4,Spending,0.27
2041,6.3,Spending,0.27
2042,6.3,Spending,0.27
2043,6.3,Spending,0.28
2044,6.3,Spending,0.28
2045,6.3,Spending,0.28
2046,6.3,Spending,0.28
2000,2.4,Surplus,0.02
2001,1.2,Surplus,0.01
2002,-1.5,Deficit,-0.02
2003,-3.4,Deficit,-0.03
2004,-3.4,Deficit,-0.03
2005,-2.5,Deficit,-0.03
2006,-1.8,Deficit,-0.02
2007,-1.2,Deficit,-0.01
2008,-3.1,Deficit,-0.03
2009,-9.8,Deficit,-0.1
2010,-8.8,Deficit,-0.09
2011,-8.4,Deficit,-0.08
2012,-6.8,Deficit,-0.07
2013,-4.1,Deficit,-0.04
2014,-2.8,Deficit,-0.03
2015,-2.5,Deficit,-0.03
2016,-2.9,Deficit,-0.03
2017,-2.8,Deficit,-0.03
2018,-2.7,Deficit,-0.03
2019,-3.4,Deficit,-0.03
2020,-3.7,Deficit,-0.04
2021,-3.9,Deficit,-0.04
2022,-4.4,Deficit,-0.04
2023,-4.4,Deficit,-0.04
2024,-4.3,Deficit,-0.04
2025,-4.6,Deficit,-0.05
2026,-4.9,Deficit,-0.05
2027,-5.2,Deficit,-0.05
2028,-5.4,Deficit,-0.05
2029,-5.6,Deficit,-0.06
2030,-5.9,Deficit,-0.06
2031,-6.1,Deficit,-0.06
2032,-6.3,Deficit,-0.06
2033,-6.5,Deficit,-0.07
2034,-6.7,Deficit,-0.07
2035,-6.9,Deficit,-0.07
2036,-7.1,Deficit,-0.07
2037,-7.3,Deficit,-0.07
2038,-7.5,Deficit,-0.08
2039,-7.6,Deficit,-0.08
2040,-7.9,Deficit,-0.08
2041,-8,Deficit,-0.08
2042,-8.1,Deficit,-0.08
2043,-8.4,Deficit,-0.08
2044,-8.5,Deficit,-0.09
2045,-8.7,Deficit,-0.09
2046,-8.8,Deficit,-0.09
2000,-34,Debt,-0.34
2001,-31,Debt,-0.31
2002,-33,Debt,-0.33
2003,-35,Debt,-0.35
2004,-36,Debt,-0.36
2005,-36,Debt,-0.36
2006,-35,Debt,-0.35
2007,-35,Debt,-0.35
2008,-39,Debt,-0.39
2009,-52,Debt,-0.52
2010,-61,Debt,-0.61
2011,-66,Debt,-0.66
2012,-70,Debt,-0.7
2013,-73,Debt,-0.73
2014,-74,Debt,-0.74
2015,-74,Debt,-0.74
2016,-75,Debt,-0.75
2017,-76,Debt,-0.76
2018,-75,Debt,-0.75
2019,-76,Debt,-0.76
2020,-77,Debt,-0.77
2021,-78,Debt,-0.78
2022,-80,Debt,-0.8
2023,-81,Debt,-0.81
2024,-82,Debt,-0.82
2025,-84,Debt,-0.84
2026,-86,Debt,-0.86
2027,-88,Debt,-0.88
2028,-90,Debt,-0.9
2029,-92,Debt,-0.92
2030,-94,Debt,-0.94
2031,-97,Debt,-0.97
2032,-99,Debt,-0.99
2033,-102,Debt,-1.02
2034,-105,Debt,-1.05
2035,-107,Debt,-1.07
2036,-110,Debt,-1.1
2037,-113,Debt,-1.13
2038,-116,Debt,-1.16
2039,-119,Debt,-1.19
2040,-122,Debt,-1.22
2041,-125,Debt,-1.25
2042,-129,Debt,-1.29
2043,-132,Debt,-1.32
2044,-135,Debt,-1.35
2045,-138,Debt,-1.38
2046,-141,Debt,-1.41
